"0","objectId","propertyName","Value","sourceId","timeStamp"
"20747310","Lou Dobbs","Born","9/24/1945","0 (198.77.206.228)","null"
"20747311","Lou Dobbs","Born","9/24/1945","737021: Will Beback","null"
"20747312","Lou Dobbs","Born","9/24/1945","2717387: Donteatyellowsnow","null"
"20747313","Lou Dobbs","Born","9/24/1945","917160: Agent 86","null"
"20747314","Lou Dobbs","Born","9/24/1945","2717387: Donteatyellowsnow","null"
"20747315","Lou Dobbs","Born","9/24/1945","2717387: Donteatyellowsnow","null"
"20747316","Lou Dobbs","Born","9/24/1945","2717387: Donteatyellowsnow","null"
"20747317","Lou Dobbs","Born","9/24/1945","2047841: Mkdw","null"
"20747318","Lou Dobbs","Born","9/24/1945","2717387: Donteatyellowsnow","null"
"20747319","Lou Dobbs","Born","9/24/1945","433328: SmackBot","null"
"20747320","Lou Dobbs","Born","9/24/1945","279219: RussBot","null"
"20747321","Lou Dobbs","Born","9/24/1945","106576: Mrandquist","null"
"20747322","Lou Dobbs","Born","9/24/1945","0 (192.250.34.161)","null"
"20747323","Lou Dobbs","Born","9/24/1945","185663: ZephyrAnycon","null"
"20747324","Lou Dobbs","Born","9/24/1945","60449: Jossi","null"
"20747325","Lou Dobbs","Born","9/24/1945","60449: Jossi","null"
"20747326","Lou Dobbs","Born","9/24/1945","0 (69.179.101.190)","null"
"20747327","Lou Dobbs","Born","9/24/1945","1079718: Elfbabe","null"
"20747328","Lou Dobbs","Born","9/24/1945","197557: David Levy","null"
"20747329","Lou Dobbs","Born","9/24/1945","56267: Craverguy","null"
"20747330","Lou Dobbs","Born","9/24/1945","1575512: RobotG","null"
"20747331","Lou Dobbs","Born","9/24/1945","0 (24.147.239.155)","null"
"20747332","Lou Dobbs","Born","9/24/1945","0 (24.147.239.155)","null"
"20747333","Lou Dobbs","Born","9/24/1945","211270: TexasDawg","null"
"20747334","Lou Dobbs","Born","9/24/1945","211270: TexasDawg","null"
"20747335","Lou Dobbs","Born","9/24/1945","211270: TexasDawg","null"
"20747336","Lou Dobbs","Born","9/24/1945","0 (216.185.11.254)","null"
"20747337","Lou Dobbs","Born","9/24/1945","0 (69.255.22.67)","null"
"20747338","Lou Dobbs","Born","9/24/1945","0 (69.255.22.67)","null"
"20747339","Lou Dobbs","Born","9/24/1945","0 (69.255.22.67)","null"
"20747340","Lou Dobbs","Born","9/24/1945","0 (69.255.22.67)","null"
"20747341","Lou Dobbs","Born","9/24/1945","0 (69.255.22.67)","null"
"20747342","Lou Dobbs","Born","9/24/1945","0 (69.255.22.67)","null"
"20747343","Lou Dobbs","Born","9/24/1945","0 (69.255.22.67)","null"
"20747344","Lou Dobbs","Born","9/24/1945","0 (69.255.22.67)","null"
"20747345","Lou Dobbs","Born","9/24/1945","0 (69.255.22.67)","null"
"20747346","Lou Dobbs","Born","9/24/1945","0 (69.255.22.67)","null"
"20747347","Lou Dobbs","Born","9/24/1945","2608485: Samtheboy","null"
"20747348","Lou Dobbs","Born","9/24/1945","2608485: Samtheboy","null"
