"0","objectId","propertyName","Value","sourceId","timeStamp"
"11630673","Cody Morales","Born","1994-09-09","freebase","2014-01-28"
"11630674","Cody Morales","height","1.88","freebase","2014-01-28"
"11630675","Cody Morales","weight","109.0","freebase","2014-01-28"
"11630676","Cody Morales","parents","Donnie Morales;Dawn Morales","freebase","2014-01-28"
"11630677","Nevline Nnaji","countryOfBirth","Northampton","freebase","2014-01-28"
"11630678","Rafael Morales","Born","1919-07-31","freebase","2014-01-06"
"11630679","Rafael Morales","countryOfBirth","Talavera de la Reina","freebase","2014-01-06"
"11630680","Donnie Morales","Children","Cody Morales","freebase","2014-01-28"
"11630681","Dawn Morales","Children","Cody Morales","freebase","2014-01-28"
"11630682","Ryan Bruno","Born","1991-11-22","freebase","2014-01-28"
"11630683","Ryan Bruno","countryOfBirth","Baton Rouge","freebase","2014-01-28"
"11630684","Ryan Bruno","height","1.88","freebase","2014-01-28"
"11630685","Ryan Bruno","weight","104.0","freebase","2014-01-28"
"11630686","Ryan Bruno","parents","Yvette Meeks;Duane Meeks","freebase","2014-01-28"
"11630687","Cédric Babouche","Born","1976-12-18","freebase","2014-01-28"
"11630688","Cédric Babouche","countryOfBirth","Savigny-sur-Orge","freebase","2014-01-28"
"11630689","Michael Ibiayo","countryOfBirth","Ipele","freebase","2014-01-28"
"11630690","Yvette Meeks","Children","Ryan Bruno","freebase","2014-01-28"
"11630691","Duane Meeks","Children","Ryan Bruno","freebase","2014-01-28"
"11630692","Marcus Washington","Born","1992-04-24","freebase","2014-01-28"
"11630693","Marcus Washington","countryOfBirth","Coevorden","freebase","2014-01-28"
"11630694","Marcus Washington","height","1.8","freebase","2014-01-28"
"11630695","Marcus Washington","weight","98.0","freebase","2014-01-28"
"11630696","Marcus Washington","parents","Patricia Washington;Booker T. Washington Jr.","freebase","2014-01-28"
"11630697","Monalisa Arias","countryOfBirth","Panama","freebase","2014-01-28"
"11630698","Rick Vaughn","countryOfBirth","Dallas","freebase","2014-01-28"
"11630699","Jerry Grayson","Born","1955-06-26","freebase","2014-01-28"
"11630700","Jerry Grayson","countryOfBirth","Sussex","freebase","2014-01-28"
"11630701","Appoline Traoré","Born","1976","freebase","2014-01-28"
"11630702","Appoline Traoré","countryOfBirth","Ouagadougou","freebase","2014-01-28"
"11630703","Ingvar Oldsberg","Born","1945-03-31","freebase","2014-01-28"
"11630704","Ingvar Oldsberg","countryOfBirth","Mölnlycke","freebase","2014-01-28"
"11630705","Roger Edward Mitchell","Born","1925-09-14","freebase","2014-01-02"
"11630706","Roger Edward Mitchell","countryOfBirth","Merrill","freebase","2014-01-02"
"11630707","Chuck Bourne","Children","Dominic Bourne","freebase","2014-01-28"
"11630708","Tiffany Bourne","Children","Dominic Bourne","freebase","2014-01-28"
"11630709","Ruth El Saffar","Born","1941-06-12","freebase","2014-01-02"
"11630710","Ruth El Saffar","countryOfBirth","Manhattan","freebase","2014-01-02"
"11630711","Bucky Ford","Children","Rev Ford","freebase","2014-01-28"
"11630712","David Seaberg","Children","Ryan Seaberg","freebase","2014-01-28"
"11630713","Ann Seaberg","Children","Ryan Seaberg","freebase","2014-01-28"
"11630714","Wendy Sanders","Children","Dakota DeYent","freebase","2014-01-28"
"11630715","Andrew Elliott","Children","Jake Elliott","freebase","2014-01-28"
"11630716","Dianne Elliott","Children","Jake Elliott","freebase","2014-01-28"
"11630717","Paul Nwokeji","Children","Ikenna Nwokeji","freebase","2014-01-28"
"11630718","Pamela Nwokeji","Children","Ikenna Nwokeji","freebase","2014-01-28"
"11630719","John Libretti","Children","John Libretti","freebase","2014-01-28"
"11630720","Jackie Libretti","Children","John Libretti","freebase","2014-01-28"
"11630721","Sheila Biddle","Born","1931","freebase","2014-01-02"
"11630722","Billy Hatton","Born","1941-06-09","freebase","2014-01-26"
"11630723","Billy Hatton","countryOfBirth","Liverpool","freebase","2014-01-26"
"11630724","Patricia Washington","Children","Marcus Washington","freebase","2014-01-28"
"11630725","Booker T. Washington Jr.","Children","Marcus Washington","freebase","2014-01-28"
"11630726","Douglas Harry Barnard","Born","1938-11-01","freebase","2014-01-28"
"11630727","Nigel Robertson","Born","1993-12-01","freebase","2014-01-28"
"11630728","Nigel Robertson","countryOfBirth","Thibodaux","freebase","2014-01-28"
"11630729","Nigel Robertson","height","1.73","freebase","2014-01-28"
"11630730","Nigel Robertson","weight","73.0","freebase","2014-01-28"
"11630731","Nigel Robertson","parents","Sandra Robertson","freebase","2014-01-28"
"11630732","Wayne Begley","Born","1937","freebase","2014-01-02"
"11630733","Sandra Robertson","Children","Nigel Robertson","freebase","2014-01-28"
"11630734","Clemens August von Droste zu Hülshoff","Born","1760","freebase","2014-01-28"
"11630735","Clemens August von Droste zu Hülshoff","Children","Annette von Droste-Hülshoff","freebase","2014-01-28"
"11630736","Russ Gisclair","Born","1990-08-23","freebase","2014-01-28"
"11630737","Russ Gisclair","countryOfBirth","Cut Off","freebase","2014-01-28"
"11630738","Russ Gisclair","height","1.7","freebase","2014-01-28"
"11630739","Russ Gisclair","weight","100.0","freebase","2014-01-28"
"11630740","Russ Gisclair","parents","Julie Gisclair;Tommy Gisclair","freebase","2014-01-28"
"11630741","Julie Gisclair","Children","Russ Gisclair","freebase","2014-01-28"
"11630742","Therese Luise von Haxthausen","Born","1772","freebase","2014-01-28"
"11630743","Therese Luise von Haxthausen","Children","Annette von Droste-Hülshoff","freebase","2014-01-28"
"11630744","Tommy Gisclair","Children","Russ Gisclair","freebase","2014-01-28"
"11630745","Maria Anna von Droste-Hülshoff","Born","1795","freebase","2014-01-28"
"11630746","Dorian Durald","Born","1992-10-03","freebase","2014-01-28"
"11630747","Dorian Durald","height","1.91","freebase","2014-01-28"
"11630748","Dorian Durald","weight","102.0","freebase","2014-01-28"
"11630749","Dorian Durald","parents","Darlene Durald;Nelson Durald","freebase","2014-01-28"
"11630750","Allen I. Selverston","Born","1936-01-17","freebase","2014-01-02"
"11630751","Allen I. Selverston","countryOfBirth","Chicago","freebase","2014-01-02"
"11630752","Darlene Durald","Children","Dorian Durald","freebase","2014-01-28"
"11630753","Andrew Wojcicki","Born","1935-05-05","freebase","2014-01-02"
"11630754","Andrew Wojcicki","countryOfBirth","Warsaw","freebase","2014-01-02"
"11630755","Nelson Durald","Children","Dorian Durald","freebase","2014-01-28"
"11630756","null","Children","Yoshie Hotta","freebase","2014-01-28"
"11630757","Dylan Ledet","Born","1992-05-22","freebase","2014-01-28"
"11630758","Dylan Ledet","countryOfBirth","Thibodaux","freebase","2014-01-28"
"11630759","Dylan Ledet","height","1.78","freebase","2014-01-28"
"11630760","Dylan Ledet","weight","100.0","freebase","2014-01-28"
"11630761","Dylan Ledet","parents","Beryl Ledet;Albert Ledet","freebase","2014-01-28"
