"ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"sanjosefrijan2908","Temperature","48.0","weatherbug","fri jan 29 08:47:45 2010"
"sanjosefrijan2908","Humidity","88","weatherbug","fri jan 29 08:47:45 2010"
"charlottefrijan2908","Temperature","42.5","weatherbug","fri jan 29 08:47:47 2010"
"charlottefrijan2908","Humidity","51","weatherbug","fri jan 29 08:47:47 2010"
"sandiegofrijan2908","Temperature","53.5","weatherbug","fri jan 29 08:47:49 2010"
"sandiegofrijan2908","Humidity","96","weatherbug","fri jan 29 08:47:49 2010"
"denverfrijan2908","Temperature","24.5","weatherbug","fri jan 29 08:47:51 2010"
"denverfrijan2908","Humidity","96","weatherbug","fri jan 29 08:47:51 2010"
"memphisfrijan2908","Temperature","33.1","weatherbug","fri jan 29 08:47:53 2010"
"memphisfrijan2908","Humidity","61","weatherbug","fri jan 29 08:47:53 2010"
"losangelesfrijan2908","Temperature","54.2","weatherbug","fri jan 29 08:47:56 2010"
"losangelesfrijan2908","Humidity","81","weatherbug","fri jan 29 08:47:56 2010"
"elpasofrijan2908","Temperature","31.6","weatherbug","fri jan 29 08:47:58 2010"
"elpasofrijan2908","Humidity","88","weatherbug","fri jan 29 08:47:58 2010"
"newyorkfrijan2908","Temperature","17.9","weatherbug","fri jan 29 08:48:00 2010"
"newyorkfrijan2908","Humidity","48","weatherbug","fri jan 29 08:48:00 2010"
"baltimorefrijan2908","Temperature","17.9","weatherbug","fri jan 29 08:48:03 2010"
"baltimorefrijan2908","Humidity","41","weatherbug","fri jan 29 08:48:03 2010"
"lasvegasfrijan2908","Temperature","43.5","weatherbug","fri jan 29 08:48:05 2010"
"lasvegasfrijan2908","Humidity","61","weatherbug","fri jan 29 08:48:05 2010"
"washingtonfrijan2908","Temperature","19.5","weatherbug","fri jan 29 08:48:07 2010"
"washingtonfrijan2908","Humidity","49","weatherbug","fri jan 29 08:48:07 2010"
"austinfrijan2908","Temperature","59.0","weatherbug","fri jan 29 08:48:09 2010"
