"ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"newyorksunjan3108","Temperature","17","weather_gov","sun jan 31 08:09:46 2010"
"newyorksunjan3108","Humidity","47","weather_gov","sun jan 31 08:09:46 2010"
"newyorksunjan3108","Pressure","30.00","weather_gov","sun jan 31 08:09:46 2010"
"newyorksunjan3108","Visibility","10.00","weather_gov","sun jan 31 08:09:46 2010"
"newyorksunjan3108","Temperature","17","weather_gov","sun jan 31 08:53:22 2010"
"newyorksunjan3108","Humidity","47","weather_gov","sun jan 31 08:53:22 2010"
"newyorksunjan3108","Pressure","30.00","weather_gov","sun jan 31 08:53:22 2010"
"newyorksunjan3108","Visibility","10.00","weather_gov","sun jan 31 08:53:22 2010"
"newyorksunjan3107","Temperature","17","weather_gov","sun jan 31 07:22:20 2010"
"newyorksunjan3107","Humidity","47","weather_gov","sun jan 31 07:22:20 2010"
"newyorksunjan3107","Pressure","30.01","weather_gov","sun jan 31 07:22:20 2010"
"newyorksunjan3107","Visibility","10.00","weather_gov","sun jan 31 07:22:20 2010"
"tauntonsunjan3118","Temperature","25","weather_gov","sun jan 31 18:26:53 2010"
"tauntonsunjan3118","Humidity","33","weather_gov","sun jan 31 18:26:53 2010"
"tauntonsunjan3118","Pressure","30.01","weather_gov","sun jan 31 18:26:53 2010"
"tauntonsunjan3118","Visibility","10.00","weather_gov","sun jan 31 18:26:53 2010"
"newyorksunjan3109","Temperature","17","weather_gov","sun jan 31 09:36:21 2010"
"newyorksunjan3109","Humidity","47","weather_gov","sun jan 31 09:36:21 2010"
"newyorksunjan3109","Pressure","30.02","weather_gov","sun jan 31 09:36:21 2010"
"newyorksunjan3109","Visibility","10.00","weather_gov","sun jan 31 09:36:21 2010"
"newyorksunjan3110","Temperature","17","weather_gov","sun jan 31 10:20:17 2010"
"newyorksunjan3110","Humidity","47","weather_gov","sun jan 31 10:20:17 2010"
"newyorksunjan3110","Pressure","30.03","weather_gov","sun jan 31 10:20:17 2010"
"newyorksunjan3110","Visibility","10.00","weather_gov","sun jan 31 10:20:17 2010"
"newyorksunjan3101","Temperature","19","weather_gov","sun jan 31 01:28:56 2010"
"newyorksunjan3101","Humidity","43","weather_gov","sun jan 31 01:28:56 2010"
"newyorksunjan3101","Pressure","30.09","weather_gov","sun jan 31 01:28:56 2010"
"newyorksunjan3101","Visibility","10.00","weather_gov","sun jan 31 01:28:56 2010"
"tauntonsunjan3101","Temperature","21","weather_gov","sun jan 31 01:29:07 2010"
"tauntonsunjan3101","Humidity","39","weather_gov","sun jan 31 01:29:07 2010"
"tauntonsunjan3101","Pressure","30.11","weather_gov","sun jan 31 01:29:07 2010"
"tauntonsunjan3101","Visibility","10.00","weather_gov","sun jan 31 01:29:07 2010"
"newyorksunjan3100","Temperature","19","weather_gov","sun jan 31 00:44:52 2010"
"newyorksunjan3100","Humidity","43","weather_gov","sun jan 31 00:44:52 2010"
