"ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"sanjosefrijan2908","Temperature","48","yahoo","fri jan 29 08:35:43 2010"
"charlottefrijan2908","Temperature","42","yahoo","fri jan 29 08:35:43 2010"
"sandiegofrijan2908","Temperature","51","yahoo","fri jan 29 08:35:44 2010"
"denverfrijan2908","Temperature","27","yahoo","fri jan 29 08:35:45 2010"
"memphisfrijan2908","Temperature","33","yahoo","fri jan 29 08:35:45 2010"
"losangelesfrijan2908","Temperature","57","yahoo","fri jan 29 08:35:46 2010"
"newyorkfrijan2908","Temperature","19","yahoo","fri jan 29 08:35:47 2010"
"elpasofrijan2908","Temperature","30","yahoo","fri jan 29 08:35:47 2010"
"baltimorefrijan2908","Temperature","23","yahoo","fri jan 29 08:35:48 2010"
"washingtonfrijan2908","Temperature","24","yahoo","fri jan 29 08:35:49 2010"
"lasvegasfrijan2908","Temperature","47","yahoo","fri jan 29 08:35:49 2010"
"austinfrijan2908","Temperature","55","yahoo","fri jan 29 08:35:50 2010"
"oklahomacityfrijan2908","Temperature","27","yahoo","fri jan 29 08:35:51 2010"
"sanfranciscofrijan2908","Temperature","51","yahoo","fri jan 29 08:35:51 2010"
"nashvillefrijan2908","Temperature","28","yahoo","fri jan 29 08:35:52 2010"
"fortworthfrijan2908","Temperature","46","yahoo","fri jan 29 08:35:53 2010"
"phoenixfrijan2908","Temperature","55","yahoo","fri jan 29 08:35:53 2010"
"chicagofrijan2908","Temperature","7","yahoo","fri jan 29 08:35:54 2010"
"portlandfrijan2908","Temperature","48","yahoo","fri jan 29 08:35:54 2010"
"sanantoniofrijan2908","Temperature","66","yahoo","fri jan 29 08:35:55 2010"
"indianapolisfrijan2908","Temperature","10","yahoo","fri jan 29 08:35:56 2010"
"bostonfrijan2908","Temperature","18","yahoo","fri jan 29 08:35:56 2010"
"jacksonvillefrijan2908","Temperature","49","yahoo","fri jan 29 08:35:57 2010"
"columbusfrijan2908","Temperature","11","yahoo","fri jan 29 08:35:58 2010"
"dallasfrijan2908","Temperature","43","yahoo","fri jan 29 08:35:58 2010"
"houstonfrijan2908","Temperature","64","yahoo","fri jan 29 08:35:59 2010"
"milwaukeefrijan2908","Temperature","5","yahoo","fri jan 29 08:36:00 2010"
"seattlefrijan2908","Temperature","47","yahoo","fri jan 29 08:36:00 2010"
"detroitfrijan2908","Temperature","8","yahoo","fri jan 29 08:36:01 2010"
"philadelphiafrijan2908","Temperature","20","yahoo","fri jan 29 08:36:01 2010"
"sanjosefrijan2909","Temperature","48","yahoo","fri jan 29 09:19:44 2010"
"charlottefrijan2909","Temperature","41","yahoo","fri jan 29 09:19:45 2010"
"sandiegofrijan2909","Temperature","50","yahoo","fri jan 29 09:19:45 2010"
"denverfrijan2909","Temperature","21","yahoo","fri jan 29 09:19:46 2010"
"memphisfrijan2909","Temperature","33","yahoo","fri jan 29 09:19:46 2010"
"elpasofrijan2909","Temperature","30","yahoo","fri jan 29 09:19:47 2010"
"losangelesfrijan2909","Temperature","57","yahoo","fri jan 29 09:19:47 2010"
"newyorkfrijan2909","Temperature","18","yahoo","fri jan 29 09:19:48 2010"
"baltimorefrijan2909","Temperature","21","yahoo","fri jan 29 09:19:48 2010"
"washingtonfrijan2909","Temperature","22","yahoo","fri jan 29 09:19:49 2010"
"lasvegasfrijan2909","Temperature","49","yahoo","fri jan 29 09:19:49 2010"
"austinfrijan2909","Temperature","55","yahoo","fri jan 29 09:19:50 2010"
"oklahomacityfrijan2909","Temperature","27","yahoo","fri jan 29 09:19:51 2010"
"sanfranciscofrijan2909","Temperature","49","yahoo","fri jan 29 09:19:51 2010"
"nashvillefrijan2909","Temperature","29","yahoo","fri jan 29 09:19:52 2010"
"fortworthfrijan2909","Temperature","43","yahoo","fri jan 29 09:19:52 2010"
"portlandfrijan2909","Temperature","47","yahoo","fri jan 29 09:19:53 2010"
"phoenixfrijan2909","Temperature","53","yahoo","fri jan 29 09:19:53 2010"
"chicagofrijan2909","Temperature","7","yahoo","fri jan 29 09:19:54 2010"
"sanantoniofrijan2909","Temperature","61","yahoo","fri jan 29 09:19:54 2010"
"indianapolisfrijan2909","Temperature","10","yahoo","fri jan 29 09:19:55 2010"
