"ObjectID","PropertyID","PropertyValue","SourceID","TimeStamp"
"phoenixwedfeb308","Temperature","60","aol","wed feb  3 08:17:28 2010"
"phoenixwedfeb308","RealFeel","60","aol","wed feb  3 08:17:28 2010"
"phoenixwedfeb308","Humidity","63","aol","wed feb  3 08:17:28 2010"
"phoenixwedfeb308","Pressure","29.69","aol","wed feb  3 08:17:28 2010"
"phoenixwedfeb308","Visibility","9.00","aol","wed feb  3 08:17:28 2010"
"phoenixwedfeb309","Temperature","59","aol","wed feb  3 09:03:59 2010"
"phoenixwedfeb309","RealFeel","59","aol","wed feb  3 09:03:59 2010"
"phoenixwedfeb309","Humidity","64","aol","wed feb  3 09:03:59 2010"
"phoenixwedfeb309","Pressure","29.68","aol","wed feb  3 09:03:59 2010"
"phoenixwedfeb309","Visibility","9.00","aol","wed feb  3 09:03:59 2010"
"phoenixwedfeb309","Temperature","57","aol","wed feb  3 09:47:48 2010"
"phoenixwedfeb309","RealFeel","57","aol","wed feb  3 09:47:48 2010"
"phoenixwedfeb309","Humidity","64","aol","wed feb  3 09:47:48 2010"
"phoenixwedfeb309","Pressure","29.67","aol","wed feb  3 09:47:48 2010"
"phoenixwedfeb309","Visibility","10.00","aol","wed feb  3 09:47:48 2010"
"phoenixwedfeb310","Temperature","56","aol","wed feb  3 10:31:13 2010"
"phoenixwedfeb310","RealFeel","56","aol","wed feb  3 10:31:13 2010"
"phoenixwedfeb310","Humidity","67","aol","wed feb  3 10:31:13 2010"
"phoenixwedfeb310","Pressure","29.66","aol","wed feb  3 10:31:13 2010"
"phoenixwedfeb310","Visibility","10.00","aol","wed feb  3 10:31:13 2010"
"phoenixwedfeb311","Temperature","58","aol","wed feb  3 11:18:05 2010"
"phoenixwedfeb311","RealFeel","58","aol","wed feb  3 11:18:05 2010"
"phoenixwedfeb311","Humidity","56","aol","wed feb  3 11:18:05 2010"
"phoenixwedfeb311","Pressure","29.64","aol","wed feb  3 11:18:05 2010"
"phoenixwedfeb311","Visibility","10.00","aol","wed feb  3 11:18:05 2010"
"phoenixwedfeb312","Temperature","58","aol","wed feb  3 12:02:49 2010"
"phoenixwedfeb312","RealFeel","58","aol","wed feb  3 12:02:49 2010"
"phoenixwedfeb312","Humidity","58","aol","wed feb  3 12:02:49 2010"
"phoenixwedfeb312","Pressure","29.64","aol","wed feb  3 12:02:49 2010"
"phoenixwedfeb312","Visibility","9.00","aol","wed feb  3 12:02:49 2010"
"phoenixwedfeb312","Temperature","56","aol","wed feb  3 12:46:01 2010"
"phoenixwedfeb312","RealFeel","56","aol","wed feb  3 12:46:01 2010"
"phoenixwedfeb312","Humidity","65","aol","wed feb  3 12:46:01 2010"
"phoenixwedfeb312","Pressure","29.63","aol","wed feb  3 12:46:01 2010"
"phoenixwedfeb312","Visibility","10.00","aol","wed feb  3 12:46:01 2010"
